pid,url,pageTitle,trackName,openDate,area,rideType,length,hoursNet,climb,descent,difficulty,technicalDifficulty,singleTrack,circular,beginners,fullMoonOk,startPoint,milestones,attraction,season,descriptionText,gpxUrl,gpxLocalPath,openerName
2650,https://www.groopy.co.il/tracks.aspx,גרופי – מסלולי טיולי אופניים,,,,,,,,,,,,,,,,,,,,,,
2649,https://www.groopy.co.il/tracks.aspx,גרופי – מסלולי טיולי אופניים,,,,,,,,,,,,,,,,,,,,,,
2648,https://www.groopy.co.il/trackinfo.aspx?pid=2648,מסלול רכיבת אופניים | בנימינה לצ'ק פוסט (לב המפרץ),בנימינה לצ'ק פוסט (לב המפרץ),27/07/2022,הכרמל ורמות מנשה,XC,"59 ק""מ",3.5 שעות,600 מטר,600 מטר,בינוני,בינוני,לא,לא,לא,לא,תחנת הרכבת בנימינה,,,,,https://www.groopy.co.il/files/maslul/2648gps.gpx,gpx/2648.gpx,אהוד גנני
2647,https://www.groopy.co.il/trackinfo.aspx?pid=2647,"מסלול רכיבת אופניים | משני צידי הירדן- עפ""י רז גורן(כל הקרדיט והתודות)","משני צידי הירדן- עפ""י רז גורן(כל הקרדיט והתודות)",26/07/2022,גליל עליון,XC,"42 ק""מ",5.0 שעות,440 מטר,440 מטר,בינוני,קל,לא,כן,לא,לא,רפטינג נהר הירדן,,,גם בקיץ החם(בתנאי שתתנהגו כמוני),"אתם יכולים לראות אותו באתר של רז גורן, מפורט לפרטי פרטים. אני עשיתי עם טיפת שינויים, שיניתי את נקודת הפתיחה(כשתראו תבינו) ועוד קצת בחזרה מעין הדייג. את כל הסיפור שלי, תוכלו לראות עוד מעט בגלריה וסיפור דרך שאני מעלה כאן. וכמובן שיש לכם את כאן את ההקלטה של הטיול.",https://www.groopy.co.il/files/maslul/2647gps.gpx,gpx/2647.gpx,ברקאי
2646,https://www.groopy.co.il/trackinfo.aspx?pid=2646,מסלול רכיבת אופניים | מטל שחר לבית ג'מאל,מטל שחר לבית ג'מאל,22/07/2022,ירושלים והסביבה,XC,"50 ק""מ",4.0 שעות,1000 מטר,1000 מטר,בינוני-קשה,בינוני,לא,כן,לא,כן,תחנת הדלק בישוב טל שחר,,,,,,,שושן   צחור
2645,https://www.groopy.co.il/trackinfo.aspx?pid=2645,מסלול רכיבת אופניים | מצומת שמשון להר איתן,מצומת שמשון להר  איתן,11/07/2022,ירושלים והסביבה,XC,"50 ק""מ",4.0 שעות,1000 מטר,1000 מטר,בינוני-קשה,בינוני,לא,לא,לא,כן,צומת שמשון  ברחבה של תחנת הדלק,,,,יציאה מצומת שמשון יער הקדושים כסלון דרומי גבעת יערים הר איתן חזרה יורדים עין לימון חוזרים צפוני מסילת ציון ולרכבים רכיבה עם נוף מהמם ומאתרת מאוד,,,שושן   צחור
2644,https://www.groopy.co.il/trackinfo.aspx?pid=2644,"מסלול רכיבת אופניים | שמורת נחל שורק-נוף שחבל""ז","שמורת נחל שורק-נוף   שחבל""ז",09/07/2022,ירושלים והסביבה,XC,"6 ק""מ",1.0 שעות,,,בינוני-קשה,בינוני,לא,לא,לא,לא,"שביל סמ""ש שחור היורד  דרומית/מערבית   בסמוך לכניסה להר הטייסים.",,נוף נפלא,כל השנה,"מדובר בדרך נופית 4*4 כ5.5 ק""מ אורכה(טיפוס אנכי מצטבר כ 75 מטר ) שעוברת בשני שליש הרכס שמעל שמורת נחל שורק,עוקפת את הישוב רמת רזיאל מדרום בסמוך לבתים,עולה לקטע כביש קצר המוביל לאנדרטת מגילת האש,ומתחברת מחדש לדרך ה4*4 ומסתיימת בסמ""ש כחול היורד מכיסלון לכביש 395. למיטב ידיעתי ,מיעוט רוכבים מכירים דרך זו שחושפת בפני הרוכב נופי הר ובקעה ירוקים ומרהיבים ב180 מעלות מהרי חברון ועד שפלת החוף. הדרך משופעת באבנים גדולות וקטנות ומחייבת ערנות מלאה. הפיתוי להעביר עיניים מאתגרי הדרך אל הנוף הנפלא מסוכן ומפתה מאוד. מומלץ לעצור ויותר מפעם אחת ולהנות ממראות הנוף . היות ומדובר בקטע קצר אני ממליץ לשלבו במסלול ארוך יותר ואת הציר המוקלט לרכב ממזרח למערב . רכיבה הפוכה משמעותה טיפוסים בזוויות חדות, מלאות אבנים ודרדרת קשה. המסלול לא מתאים לרוכבים מתחילים. בעלי אופניים חשמליות עם צמיגים ברוחב 2.40 וקוביות מלאות, יחגגו שם. ההקלטה בפורמט trk . ניתן לקבלו גם בפורמטים gpx,kmz. לשאלות והבהרות -אבינועם דור 058-4533874",https://www.groopy.co.il/files/maslul/2644gps.trk,gpx/2644.gpx,אבינועם
2643,https://www.groopy.co.il/trackinfo.aspx?pid=2643,מסלול רכיבת אופניים | מקיבוץ נחשון לבר בהר,מקיבוץ  נחשון לבר בהר,12/06/2022,ירושלים והסביבה,XC,"83 ק""מ",6.0 שעות,1700 מטר,2000 מטר,בינוני-קשה,בינוני,לא,כן,לא,כן,קיבוץ נחשון  ברחבה לפני הקיבוץ,צומת  שמשון  גבעת יערים  גשר קובי  בר בהר,,,יציאה מקיבוץ נחשון נווה שלום יער אשתאול יער הקדושים כסלון דרומי גבעת יערים יורדים עין הטייסים גשר קובי. בר בהר חזרה לרכבים רכיבה מאתגרת לא להחמיץ תודה ממאיר,,,שושן   צחור
2642,https://www.groopy.co.il/trackinfo.aspx?pid=2642,מסלול רכיבת אופניים | בנימינה עקב נדיב צור חושן תנינים,בנימינה עקב נדיב צור חושן תנינים,10/06/2022,הכרמל ורמות מנשה,XC,"31 ק""מ",4.0 שעות,455 מטר,455 מטר,בינוני-קשה,בינוני,לא,כן,לא,לא,תחנת רכבת בנימינה,,,,"טיול שרכבנו אתמול. נהניתי מאד, שתהנו גם אתם. הכי מומלץ, עם הרכבת של 6:01 תחנת האוניברסיטה(סבידור5:58)או בעצם כל תחנת רכבת לםני השעה 6. תחנת בנימינה(6:30),על מדרכה צפונה אל שוני, לפני שוני ימינה טיפוס דרך המחצבה אל חוטם הכרמל(לא בדיוק). חורבות עקב, העתיקות התצפיות.(עד כאן פחות מ6קמ,אבל 190עליות,ממש לא קל). פארק הנדיב, סיור קל בשבילי הפארק החיצוני(השנה בסימן של שנת השמיטה,מעניין). ירידה אל עין צור, בור המקוה, ממש מתאים ליום חם(מומלץ עם הבגדים,ישמור עליכם בהמשך מהחום). עם שביל ישראל טיפוס אל חורשן, הרבה עליות(עוד250)חלקם קשות ויש גם ירידות רעות(אפשר גם על הרגלים). תנינים...הייתי עליו הרבה, אבל כל כך הרבה מים כמו אתמול, עוד לא ראיתי. במפגש עם הנחל,פנינו צפונה (800מ)לעין עמיקם וטבילה טובה(עם בגדים), וחזרה לכל אורכו(השביל כולו רכיב)נקודות כניסה למים, בלי סוף, כמה שתרצו. חזרה לבנימינה דרך בית הכנסת וגן הזכרון. רכבת אחרונה בשבילכם, 14:56, מהירה, רציף 1!!!(עם שלפניה 20 דקות קודם ורציף 3,מדרגות לרדת ולעלות ותרויחו רק 6 דקות). טיול טוב(לי לא קל),עם המים,מתאים גם לימים החמים(לא נורא חמים). קובץ הניווט המצורף סופר רק 350 עליות, אבל זה 450(ומרגיש יותר,צחוק). גלריה כאן תעלה בראשון.",https://www.groopy.co.il/files/maslul/2642gps.gpx,gpx/2642.gpx,ברקאי
2641,https://www.groopy.co.il/trackinfo.aspx?pid=2641,מסלול רכיבת אופניים | רכבלית1 ואל גלים ועין קדם,רכבלית1 ואל גלים ועין קדם,31/05/2022,הכרמל ורמות מנשה,XC,"24 ק""מ",3.0 שעות,275 מטר,,בינוני,בינוני,לא,לא,לא,לא,רכבלית מרכזית המפרץ,,,,"קטע ראשון, מסלול מס 1 מסדרת המסלולים עם הרכבלית 10 קמ 180 עליות מעגלי, רובו בשטח על שבילי אספלט, מוגדר כמשפחתי, אבל 180עליות, אז כל אחד יגדיר לעצמו. קטע שני, ירידה על שביל קשה(רע), אל נחל גלים ועין קדם 14קמ כולו בירידה,90 עליות. אנחנו עם הרכבת מתחנת האוניברסיטה בשעה 9:01(חמש דקות לתשע נכנסים לתחנה),שעה 10 במרכזית המפרץ. עליה עם הרכבלית עד האוניברסיטה(זוג אופניים אחד בקרונית, ולהרים מושב אחד). מכאן המסלול המעגלי שלפני סיומו הקטע השני יורדים אל טירת הכרמל ואל רכבת מרכזית הכרמל, איתה חוזרים לאן שהתחלתם. סיפור דרך בגלריה שאעלה בהמשך. (יש לי בעיה בקובץ המסלול, לא ספר את העליות,כנראה מכשיר בניווט שאתו הקלטתי)",https://www.groopy.co.il/files/maslul/2641gps.gpx,gpx/2641.gpx,ברקאי
