pid,trackName,physics_score_1_10,intensity_density_J_per_km,distance_km,elevation_gain_m_smoothed,W_grav_J,W_roll_J,kinetic_factor,si_p90,si_mean,si_max,si_global,difficulty_groopy,difficulty_technical,gpx_path
2817,דרך החווארים - נאות הכיכר>עידן>נחל אמציה.,1.0,25016.398179533306,45.64765344388069,212.92220009357106,177484.54695154759,761005.9530972354,1.2673426845567473,1.2673426845567473,1.1300936487051223,6.4473564001564005,375.64105807191976,בינוני-קל,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2817.gpx
2816,מ הספורט אל נתניה וכל האירוסים בדרך,4.594158484433585,41157.578717674354,32.22109179423574,387.0,322589.75175,537167.6487347013,1.868229355406151,1.868229355406151,1.322691204078291,122.86305852983564,1.6930468687272506,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2816.gpx
2815,בין שדרות לקרית גת על כל האדום האדום הזה,5.840949141242791,46044.037660812035,33.39982369349312,468.5,390525.319625,556818.6477404503,2.06052262265018,2.06052262265018,1.570682542680021,313.6941262938814,1.6555394846032387,בינוני,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2815.gpx
2814,כפר יהושע אל עפולה וכל הכלניות שבדרך,4.128004722001798,39330.61505791968,27.712845913310087,451.5999999999999,376438.0668999999,462009.30663879606,1.5443957461958302,1.5443957461958302,1.3426872743053628,281.36548420917256,1.595355144088943,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2814.gpx
2813,שלוליות חורף נרקיסים ומערות,4.964646675200015,42609.6070298937,21.309437648302612,452.69999999999993,377354.9886749999,355256.1344133356,1.493659712374773,1.493659712374773,1.359327939760981,294.6149779952314,2334.1341731902294,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2813.gpx
2812,יד מרדכי >זיקים,3.6018677673375663,37268.5634910481,35.75169057462233,131.375746,109510.2565584265,596027.3378351541,2.0517580585748494,2.0517580585748494,1.419168427798739,14.641681950818198,460.5526138566089,,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2812.gpx
2811,"עדולם אחרי הגשם ואפילו אחרי ""ביירון"".",5.180926333973456,43457.256687083885,24.235515768089208,417.5,348013.491875,404037.67520212446,1.74537074407712,1.74537074407712,1.3034187793870702,5.178984790227141,3.9324486545451847,בינוני-קשה,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2811.gpx
2810,נחל אדוריים,,,37.49966362758783,,,625168.3297329231,1.4784501997376809,1.4784501997376809,1.232927945813127,10.58839621556159,121.58347794291821,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2810.gpx
2809,בית יהושע אל הרקפות באודים ועל החופים והרכבת,4.466940387315579,40658.981776001594,33.84392841601892,621.8499999999999,518352.55071249994,564222.4530216183,1.5201577203980088,1.5201577203980088,1.2031861870964746,3.995938899838433,1.9040955336657663,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2809.gpx
2808,נחשונים אלכסנדרוני צרטה תנשמת שוהם,6.889049920661936,50151.78533996872,23.919565577881873,591.05,492678.74101249996,398770.37321636995,1.7727750724629723,1.7727750724629723,1.2865890051261684,8.71060790377838,3339.252220804812,למתקדמים,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2808.gpx
2807,ניצנה>בארותיים,1.7446792911006823,29989.815299250648,35.86746177544309,175.59779999999998,146372.22405644998,597957.3948342532,1.5541012417776157,1.5541012417776157,1.3615985126333014,30.8376047586626,57.8036969786193,בינוני-קל,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2807.gpx
2806,"בנימינה אל חרבת מלח, גבעת האשחורים, מעגן ומעיין",3.3291932784602385,36199.88954208699,24.480929569833023,144.5,120450.178625,408129.0435422052,1.8762613928292478,1.8762613928292478,1.3025185873939864,5.148847442789723,461.8463291841379,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2806.gpx
2805,סירקין לשוהם קצר,1.8256091165121142,30306.99787275527,24.52476991184788,212.5,177132.615625,408859.91925523913,1.3846784858599994,1.3846784858599994,1.18969762555876,18.26468186305567,2834.2060689782234,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2805.gpx
2804,מרבדים לגבעת מרר,2.64408218049515,33514.781794919545,32.22710601814179,152.5,127118.700625,537267.9136957774,1.773725363384287,1.773725363384287,1.407166433594085,27.40670909540815,174.9245156136498,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2804.gpx
2803,בנימינה אל השקנאים והעופות במעגן ובמעיין,4.259757739608567,39846.9853945547,26.053651648576007,374.6,312253.54265,434348.37299716345,1.6712527988918346,1.6712527988918346,1.2457235003701117,7.191763064271213,458.9163512146402,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2803.gpx
2802,בין פתח תקוה לשוהם,4.681024067223306,41498.02488765127,31.349013472545412,590.8499999999998,492512.0279624998,522628.9650499137,1.5468145996219274,1.5468145996219274,1.2536257297452553,76.31076494047113,1786.5690170041878,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2802.gpx
2800,כרמיאל עכו דרך נחל חילזון,1.0,25088.999586483224,43.68144184486921,45.521518499999964,37945.15594883209,728226.6398355773,1.4528149103045147,1.4528149103045147,1.256649546127375,65.47704708503122,2.1683186476164464,בינוני-קל,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2800.gpx
2799,חולדה גיבתון ומלוט,6.007300865628957,46696.00827584171,21.562407600329635,511.30000000000024,426201.9123250002,359473.4736394135,1.6153527144802322,1.6153527144802322,1.2601965659560137,7.076705600083122,6396.887489812584,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2799.gpx
2798,ים לים מתיכון עד כנרת מעניין,2.083167245050971,31316.42733367005,75.69007996767279,580.1,483551.20152500004,1261852.4086154632,1.4952554472931872,1.4952554472931872,1.2105434549160683,13.810162138909586,1.473927834551342,בינוני-קל,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2798.gpx
2797,רמת סירין מסלול נהדר,4.574138132223202,41079.11435914799,39.344034442121206,761.4500000000003,634718.2596125002,655916.3981151074,1.4963794675756987,1.4963794675756987,1.2586460193891882,110.97790030480361,27106.79252263885,בינוני-קשה,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2797.gpx
2796,סובב גלבוע,2.8561555718011764,34345.946123822156,59.43763743377542,875.9000000000001,730119.802475,990902.9821378874,1.3233607267217318,1.3233607267217318,1.1279289767051872,3.7786993881297053,41180.576013346705,בינוני-קשה,,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2796.gpx
2795,רכבלית המפרץ נשר יגור כפר ברוך,3.7321638234009824,37779.22366076421,37.32022052235462,581.4499999999999,484676.5146124999,622176.7789954331,1.487121465806697,1.487121465806697,1.1990251701103871,5.631684068386913,1.6750113413651535,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2795.gpx
2794,חיפה - תל אביב לאורך הים ....,1.9299804151201836,30716.05296368409,108.52832833393127,701.4,584662.66635,1809308.86279511,1.5193089866196168,1.5193089866196168,1.3223177771571302,147.36410375538395,1.402099233671381,למתקדמים,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2794.gpx
2793,מודיעין באר שבע חצרים גן הפסלים,2.202777981846581,31785.209283003856,129.45140548504259,1233.45,1028161.0576125,2158123.863519818,1.430167660847159,1.430167660847159,1.2169434213879744,176.62995633119425,1.732053281308172,בינוני-קשה,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2793.gpx
2792,סובב פארק איילון,3.5995431759331824,37259.45288342921,22.297539339143352,267.1785709190037,222710.77226274202,371729.0790723573,1.6358239868614506,1.6358239868614506,1.2317326840237395,3.8961911832982605,223.34455489939845,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2792.gpx
2791,חיפה-מרכזית המפרץ אל עמק המעיינות,1.9089020636535472,30633.44206307441,71.08379195069188,293.0,244234.61825,1185059.5761665292,1.6314003472712149,1.6314003472712149,1.2239800389157063,3.114773192253366,1.3638035498823642,למתקדמים,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2791.gpx
2790,לאורכו של הקישון מרכזית המפרץ אל תחנת כפר ברוך,4.626451676959083,41284.143156184444,31.222380712908688,233.0,194220.70325,520517.8316910182,2.1032296400336845,2.1032296400336845,1.8475140547390014,205.34765965105217,1.3896222894438295,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2790.gpx
2789,כפר יהושע לאורכו של הקישון אל מרכזית המפרץ,2.5243798089655964,33045.640708017025,20.309476930000372,102.0,85023.6555,338585.4842904999,1.7310725039638042,1.7310725039638042,1.2823982397057654,2.6377759136784764,1.378118655699324,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2789.gpx
2788,רכבלית-נשר גשרים עינות יגור וסעדיה,5.615772542036325,45161.51885064249,29.80062133826996,201.0,167546.61525,496815.24751980667,2.371695943233228,2.371695943233228,1.89063409780347,148.7294395701882,8.173596710902485,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2788.gpx
2787,חיפה בית שאן ומעיינות רטובים,1.4173380171966627,28706.88966406829,127.04918327309727,607.5500000000002,506432.5676375001,2118075.684346703,1.4828338485279504,1.4828338485279504,1.3195723940396875,125.4510217216457,2.539839464812497,למתקדמים,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2787.gpx
2786,נהריה בצת חרדלית,2.8413057099451366,34287.74610453704,34.208174038973766,516.8,430786.52119999996,570294.9028968136,1.30131737313182,1.30131737313182,1.20342543937516,143.44677868117736,353.8513894500647,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2786.gpx
2785,מסלול גראבל/ שטח מהיר,2.8826204686822314,34449.66813307638,63.205220271448916,674.2,561989.69155,1053713.5047375078,1.5330629851629587,1.5330629851629587,1.296196073461252,54.46249491718849,555.5615974704856,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2785.gpx
2784,דרך הנוף רכס רמים,2.7879223044335797,34078.52427739833,24.994093346937927,108.19999999999999,90191.76004999998,416684.153385273,1.8276914316946058,1.8276914316946058,1.255522596618744,3.6829228844039603,1.8382184951231044,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2784.gpx
2783,הר חרמון גושרים משולב שטח כביש,2.8845195332654723,34457.111003349506,37.4024033616237,163.97499999999997,136683.86186874998,623546.874174654,1.8476476272609317,1.8476476272609317,1.378505632921798,7.903679964516647,2.179522906522187,בינוני,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2783.gpx
2782,באר שבע דרום,,,33.05163106407148,,,551013.8222166102,2.016104256298271,2.016104256298271,1.3878530765628316,9.82467168280108,391.875299672353,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2782.gpx
2781,בית יהושע-דרך כפר סבא והישובים שבדרך,3.717569730302798,37722.02605798532,37.95059453343495,289.0,240900.35725,632685.9363982268,1.881933658008216,1.881933658008216,1.3760900911030527,29.365775868879947,2.2280710671412267,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2781.gpx
2780,סובב אשקלון,8.735630132804747,57388.95730830754,40.56392186559958,315.0,262573.05375,676253.5134175796,3.0541033583911092,3.0541033583911092,1.906795215767646,162.1001875649887,92.72420743293374,קל,,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2780.gpx
2779,גני חוגה מעיינות בית שאן גני חוגה,2.8879199656508163,34470.43807886868,44.52487730376102,369.6999999999998,308169.07292499987,742287.8096185777,1.6524896909917144,1.6524896909917144,1.2774264014742005,51.750149371825096,1264.125974521749,בינוני-קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2779.gpx
2778,שביל הגולן-נמרוד עין זיוון 04/2025,6.735019712975736,49548.105578854855,34.216768325646534,617.5,514726.541875,570438.1808711927,2.0697238496347183,2.0697238496347183,1.5359881956868962,11.14092609478793,2.051741277363969,בינוני-קשה,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2778.gpx
2777,חיפה תל אביב ללא חול טובעני,5.7610828007856405,45731.023129101246,100.24504272778735,651.55,543109.4386374999,1671215.682052975,2.4181193201588123,2.4181193201588123,4.397863528853281,366.39011521712257,1.2991344620857126,בינוני-קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2777.gpx
2776,סובב ירושלים 15 קמ,4.808680336725665,41998.33912753641,15.842328876164107,179.44999999999993,149583.28411249994,264112.29660483904,1.9528368168722108,1.9528368168722108,1.3622176054595136,7.817338431259953,136.47648773298855,,,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2776.gpx
2775,סובב ירושלים,3.863567506093502,38294.22487363611,31.025793783811825,521.9999999999999,435121.0604999999,517240.471037031,1.4557787058515812,1.4557787058515812,1.1856197838355043,1.9378130131335956,72.79813079179108,,,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2775.gpx
2774,חיפה בית שאן,1.0,24062.843044025823,69.65119275653585,227.6,189719.4509,1161176.278058,1.279983320633658,1.279983320633658,1.1136788919354472,5.929732428502799,1.3357025183140268,בינוני-קל,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2774.gpx
2773,חרמון מגדל שמס מרום גולן בני יהודה עד הכנרת,7.5239429818587755,52640.07706711479,150.56000204754787,1785.5999999999995,1488414.1103999994,2510031.714935295,2.564539707727884,2.564539707727884,1.5964862354006488,291.5411340133945,2.3383980842195826,בינוני-קשה,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2773.gpx
2772,"אם המושבות, הוד השרון, נחל שילה",3.9441778310140454,38610.15525133503,25.555927248215944,208.0,173381.572,426050.6577128187,1.9090141792332918,1.9090141792332918,1.3818934246146382,3.497619313979695,239.8762357167806,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2772.gpx
2771,בקעת הנדיב,,,32.424510185058644,,,540558.8987707192,1.4076253303875064,1.4076253303875064,1.266853007094652,21.290832623664677,150.95310673780418,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2771.gpx
2770,סירקין אל יער ראש העין,5.852887493728992,46090.8268061701,25.53547721418018,618.4000000000001,515476.7506000001,425709.7289581481,1.5538158094496162,1.5538158094496162,1.3421209236566038,55.2537647300658,3131.7969333166448,בינוני,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2770.gpx
2769,הקו העירוני 1948-67,7.45669191591256,52376.5046936504,24.664262085783058,344.0,286746.446,411185.43583202554,2.444350663509465,2.444350663509465,1.6149641219356248,15.09383184363613,4.68541044095183,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2769.gpx
2768,בית יהושע-הפריחה באודים שבילי אופניים חדשים וישנים,3.6928184988932293,37625.020297303345,29.548873846291034,285.0,237566.09625,492618.2882980409,1.7746212488364748,1.7746212488364748,1.2947594834730463,9.180527061800696,1.683563594703557,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2768.gpx
2767,מירב אל האירוסים במלכישוע ולמעינות בעמק,5.6194190637492305,45175.81040675743,25.404397810126653,578.2499999999995,482009.1058124996,423524.46423395356,1.5717041384129344,1.5717041384129344,1.2706313673475096,5.7684746261788815,3.8479141786093565,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2767.gpx
2766,"סינגלי בוהו,שוקדה,שובה ועוד",4.323611513596108,40097.24300055332,39.12866594300088,660.0999999999999,550236.4215249999,652325.9241788803,1.5616659821718661,1.5616659821718661,1.30608131062699,164.9165222109624,3744.1618514307484,בינוני-קשה,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2766.gpx
2765,בית יהושע ושמורת אודים,4.753652090586803,41782.67079219728,28.650737474061057,607.5999999999999,506474.2458999999,477645.1829050015,1.4459061048873216,1.4459061048873216,1.193595034367024,4.01340763839403,1.6054155870165039,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2765.gpx
2764,מזכרת בתיה גדרה,1.1529709634165735,27670.77446127979,34.97747155614423,149.76999999999998,124843.06749249998,583120.096441305,1.4456896003210393,1.4456896003210393,1.228279462649602,44.05434787353728,3222.3166436985944,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2764.gpx
2763,סירקין לשוהם-עמק הכלניות הלבנות03/2025,7.017696857340777,50655.98223205194,26.716499888374987,298.95,249194.3314875,445398.91817156534,2.479027602252338,2.479027602252338,1.5094384176877769,101.62158938976494,1912.0076000814245,בינוני,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2763.gpx
2762,עפולה בית שאן סיבוב נוף מעיינות וחזרה לרכבת,2.4704164241824698,32834.14580890515,71.84913154095048,362.94999999999993,302542.5074874999,1197818.7859043053,1.7169227749409952,1.7169227749409952,1.4100329431922924,93.33536040231525,3.3429071435013484,למתקדמים,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2762.gpx
2761,נחל גרר>הגדי>שמריה,,,32.035739257565474,,,534077.5800633476,1.393937310246584,1.393937310246584,1.210548741749317,5.967843452232073,190.57796183995004,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2761.gpx
2759,ממדרשת שדה בוקר לעבדת,2.7033932139998003,33747.23535760283,20.47744062920541,177.5,147957.831875,341385.65834887535,1.5908669953707295,1.5908669953707295,1.2948483742902195,3.4156067813571305,3.1171171148197607,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2759.gpx
2758,עגורים בעמק החולה,9.753220231720222,61377.12662296964,34.20328877205146,212.0,176715.83299999998,570213.4591219453,3.3716912888109083,3.3716912888109083,4.609070947242564,276.5154303251021,669.4390245304809,קל,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2758.gpx
2757,בנימינה לעתלית,3.166530515473772,35562.376814052215,32.82372825561768,437.4127066946184,364612.0322090763,547214.3849865203,1.4668433112901902,1.4668433112901902,1.2700710850912604,116.20854901961917,1.6532752191057694,בינוני,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2757.gpx
2756,"שדה משה, סמך, לכיש ושולי המלאכים.",5.925855576870307,46376.80548308929,27.770731270744594,645.2500000000002,537857.9775625002,462974.3310876207,1.6200894398225574,1.6200894398225574,1.3650658692078097,217.17721084423582,3507.386713130383,בינוני,קל,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2756.gpx
2755,סינגל הבוסתן בכרמל,10.0,67762.62691929015,23.849373361251846,578.1999999999998,481967.42754999985,397600.17736430466,2.852435251174977,2.852435251174977,1.7096911854666146,7.976959784752837,5641.251565252262,למתקדמים,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2755.gpx
2751,כריסמס בחיפה,3.2292367420299133,35808.136918101955,27.077584896081,336.6,280578.06315,451418.67646595964,1.5263431491460566,1.5263431491460566,1.220081294979147,4.517889547018698,5064.467281089445,בינוני,בינוני,C:\DEV\RYDO\scraper\out_2840-2750\gpx\2751.gpx
2750,נחל כזיב,4.117226299896558,39288.37194613389,42.24562904049507,615.5999999999998,513142.7678999998,704289.7666509507,1.6280503753359745,1.6280503753359745,1.264985519296884,4.131679169468251,6364.51838406088,למתקדמים,בינוני,C:\DEV\RYDO\scraper\out_2750-2651\gpx\2750.gpx
